                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.15015,                 2.1485,                0.95535,                 0.2584,                0.64784,                0.36981,                0.36899,                0.25162,                  1.675,                0.42501,             0.00027715,             0.00027715,             0.00027715
                      2,                0.08771,                 1.5001,                0.90097,                0.40468,                0.65832,                0.49708,                0.49589,                0.21579,                  1.287,                0.38402,             0.00053284,             0.00053284,             0.00053284
                      3,                0.08363,                 1.3854,                0.89792,                0.42305,                 0.6766,                0.50775,                0.49948,                0.22351,                    1.3,                0.36101,             0.00076655,             0.00076655,             0.00076655
                      4,                0.08171,                 1.3414,                0.89733,                0.40626,                0.63825,                0.53007,                0.52746,                0.15468,                  1.258,                 0.3248,             0.00073404,             0.00073404,             0.00073404
                      5,                0.07501,                 1.3008,                0.89352,                0.49663,                0.65009,                0.58081,                0.57791,                0.22127,                 1.0925,                0.38343,             0.00073404,             0.00073404,             0.00073404
                      6,                0.07016,                 1.2691,                0.89243,                0.49799,                0.67365,                0.61029,                0.60759,                 0.2539,                 1.0928,                0.40144,             0.00070105,             0.00070105,             0.00070105
                      7,                0.06513,                 1.2415,                0.89098,                0.54504,                0.70998,                0.66352,                0.66352,                0.12776,                0.94306,                0.26955,             0.00066807,             0.00066807,             0.00066807
                      8,                0.06183,                 1.2225,                0.88993,                0.57819,                0.66969,                0.66895,                0.66894,                0.18717,                0.96959,                0.34788,             0.00063508,             0.00063508,             0.00063508
                      9,                0.05825,                  1.196,                0.88878,                0.57729,                0.66308,                0.66591,                0.66584,                0.08275,                0.93626,                0.22195,             0.00060209,             0.00060209,             0.00060209
                     10,                0.05537,                 1.1848,                0.88862,                0.61608,                0.68097,                0.70901,                0.70901,                0.09279,                0.90964,                0.23385,             0.00056911,             0.00056911,             0.00056911
                     11,                0.05417,                 1.1659,                0.88992,                0.60574,                0.71166,                0.71008,                0.70922,                0.12457,                0.88135,                0.26995,             0.00053612,             0.00053612,             0.00053612
                     12,                0.05202,                 1.1531,                0.88734,                0.60763,                0.68959,                0.70536,                0.70411,                0.22668,                0.94667,                0.38457,             0.00050313,             0.00050313,             0.00050313
                     13,                 0.0514,                 1.1409,                0.88876,                0.66145,                0.71692,                0.75092,                0.75087,                0.09333,                0.78626,                0.23549,             0.00047015,             0.00047015,             0.00047015
                     14,                0.04855,                  1.123,                 0.8862,                0.64378,                  0.737,                0.75092,                 0.7505,                0.20277,                0.84521,                0.36593,             0.00043716,             0.00043716,             0.00043716
                     15,                0.04779,                 1.1131,                0.88835,                0.67751,                0.71302,                0.76537,                0.76534,                0.15514,                 0.8254,                0.29974,             0.00040417,             0.00040417,             0.00040417
                     16,                0.03792,                0.78478,                0.90157,                0.67378,                0.74291,                0.77921,                0.77921,                 0.1624,                0.78483,                0.31015,             0.00037118,             0.00037118,             0.00037118
                     17,                0.03249,                0.74586,                0.89925,                0.67867,                0.74353,                0.78162,                0.78162,                0.12693,                0.76759,                0.26495,              0.0003382,              0.0003382,              0.0003382
                     18,                0.03099,                0.71886,                0.89973,                0.68884,                0.74334,                0.79334,                0.79334,                0.14784,                0.73878,                0.29869,             0.00030521,             0.00030521,             0.00030521
                     19,                0.02938,                0.67127,                0.89808,                0.67904,                0.77165,                0.80072,                0.80072,                0.15629,                0.76296,                0.30693,             0.00027222,             0.00027222,             0.00027222
                     20,                0.02709,                0.65036,                 0.8983,                0.71402,                0.73595,                0.80361,                0.80361,                0.22098,                 0.7469,                 0.3817,             0.00023924,             0.00023924,             0.00023924
                     21,                    inf,                0.62168,                 0.8982,                0.72897,                0.74217,                0.81139,                0.81139,                0.16659,                 0.7064,                0.32047,             0.00020625,             0.00020625,             0.00020625
                     22,                0.02379,                 0.5868,                0.89806,                0.72802,                0.74448,                0.81241,                0.81236,                  0.146,                0.71177,                 0.2994,             0.00017326,             0.00017326,             0.00017326
                     23,                0.02287,                0.56963,                0.89744,                0.72907,                0.75171,                0.81475,                0.81475,                0.11472,                0.69546,                0.25586,             0.00014028,             0.00014028,             0.00014028
                     24,                 0.0217,                 0.5415,                0.89782,                 0.7403,                0.74409,                0.81849,                0.81848,                0.12309,                0.69126,                0.26362,             0.00010729,             0.00010729,             0.00010729
                     25,                    inf,                0.51044,                0.89853,                0.71822,                0.77631,                0.81957,                0.81957,                0.10417,                 0.6942,                0.24288,             7.4304e-05,             7.4304e-05,             7.4304e-05
